oshpd_id,name,address,city,zipcode,county_code,county_name,status,status_date,license_type,license_category,link,full_address,npi,cahsah,latitude,longitude
406304538,"1 & 1 HOME HEALTH,  INC.",1075 YORBA PL.,PLACENTIA,92870,30,ORANGE,Open,9/1/13,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406304538,"1075 YORBA PL., PLACENTIA, 92870",,,33.8895761,-117.8449827
406197649,"24-7 QUALITY HOSPICE CARE, INC",2659 TOWNGATE ROAD,WESTLAKE VILLAGE,91361,56,VENTURA,Open,2/10/12,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406197649,"2659 TOWNGATE ROAD, WESTLAKE VILLAGE, 91361",,,34.156459,-118.827245
406564200,"24-7 QUALITY INFUSION & HOME HEALTH, INC.",2659 TOWNSGATE RD,WESTLAKE VILLAGE,91361,56,VENTURA,Open,3/25/11,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406564200,"2659 TOWNSGATE RD, WESTLAKE VILLAGE, 91361",,,34.156459,-118.827245
406197452,"24-SEVEN HOME HEALTH, INC.",2050 N GAREY AVE,POMONA,91767,19,LOS ANGELES,Open,9/17/10,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197452,"2050 N GAREY AVE, POMONA, 91767",,,34.084018,-117.752
406197448,24/7 HOME HEALTH SERVICES,24404 VERMONT AVE,HARBOR CITY,90710,19,LOS ANGELES,Open,2/2/11,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197448,"24404 VERMONT AVE, HARBOR CITY, 90710",,,33.8029804,-118.2901546
406564248,"24/7 HOSPICE - VENTURA, INC.","3639 HARBOR BLVD,",VENTURA,93001,56,VENTURA,Open,2/10/14,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406564248,"3639 HARBOR BLVD,, VENTURA, 93001",,,34.242982,-119.257367
406304434,247 HOME CARE,9039 BOLSA AVE,WESTMINSTER,92683,30,ORANGE,Open,1/16/09,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406304434,"9039 BOLSA AVE, WESTMINSTER, 92683",,,33.7453328,-117.9713301
406304541,247 HOSPICE - ORANGE COUNTY,1075 YORBA PL,PLACENTIA,92870,30,ORANGE,Open,9/24/13,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406304541,"1075 YORBA PL, PLACENTIA, 92870",,,33.8895761,-117.8449827
406197245,"446 SCHOLL HOME HEALTH CARE , INC.",14545 FRIAR ST,VAN NUYS,91411,19,LOS ANGELES,Open,4/10/09,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197245,"14545 FRIAR ST, VAN NUYS, 91411",,,34.1858491,-118.4504263
406197695,"626 HOSPICE, INC.",1409 FOOTHILL BLVD.,LA CANADA FLINTRIDGE,91011,19,LOS ANGELES,Open,3/21/12,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406197695,"1409 FOOTHILL BLVD., LA CANADA FLINTRIDGE, 91011",,,34.2085007,-118.2087449
406197282,"A & L HOSPICE SERVICES, INC.",644 W BROADWAY,GLENDALE,91204,19,LOS ANGELES,Open,4/8/09,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406197282,"644 W BROADWAY, GLENDALE, 91204",,,34.146477,-118.268614
406197243,"A & P HOME HEALTH, INC.",212 N. GLENDALE AVE.,GLENDALE,91206,19,LOS ANGELES,Open,3/12/14,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197243,"212 N. GLENDALE AVE., GLENDALE, 91206",,,34.148627,-118.245815
406564151,"A AND C HEALTH CARE UNLIMITED, LLC",1687 ERRINGER RD,SIMI VALLEY,93065,56,VENTURA,Open,10/10/12,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406564151,"1687 ERRINGER RD, SIMI VALLEY, 93065",,,34.2688554,-118.7622283
406364294,"A AND E HOME HEALTH SERVICES, INC.",2377 W. FOOTHILL BLVD.,UPLAND,91786,36,SAN BERNARDINO,Open,6/21/04,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406364294,"2377 W. FOOTHILL BLVD., UPLAND, 91786",,,34.1076581,-117.6976799
406197481,"A C HOSPICE, INC.","5711 W SLAUSON AVE., STE 230",CULVER CITY,90230,19,LOS ANGELES,Open,11/15/13,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406197481,"5711 W SLAUSON AVE., STE 230, CULVER CITY, 90230",,,33.9896746,-118.381505
406564178,A FLYING EAGLE HOME HEALTH,5775 E LOS ANGELES AVE,SIMI VALLEY,93063,56,VENTURA,Open,7/3/12,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406564178,"5775 E LOS ANGELES AVE, SIMI VALLEY, 93063",,,34.2722309,-118.6797822
406197715,"A MIRACLE HOSPICE, INC.",14402 HAYNES STREET,VAN NUYS,91401,19,LOS ANGELES,Open,3/30/12,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406197715,"14402 HAYNES STREET, VAN NUYS, 91401",,,34.1896764,-118.4466367
406334569,A PLUS HOME HEALTH CARE,1900 E TAHQUITZ CANYON WAY,PALM SPRINGS,92262,33,RIVERSIDE,Open,11/27/09,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406334569,"1900 E TAHQUITZ CANYON WAY, PALM SPRINGS, 92262",,,33.823503,-116.525537
406197127,"A TO Z HOME HEALTH, INC.",212 N. GLENDALE AVE.,GLENDALE,91206,19,LOS ANGELES,Open,1/13/14,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197127,"212 N. GLENDALE AVE., GLENDALE, 91206",,,34.148627,-118.245815
406364501,A TO Z HOSPICE CARE INC,1202 MONTE VISTA AVE.,UPLAND,91786,36,SAN BERNARDINO,Open,3/4/13,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406364501,"1202 MONTE VISTA AVE., UPLAND, 91786",,,34.107173,-117.698278
406197764,"A&C HEALTHCARE, INC.",20465 VALLEY BLVD,WALNUT,91789,19,LOS ANGELES,Open,8/27/12,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197764,"20465 VALLEY BLVD, WALNUT, 91789",,,34.0107344,-117.8574919
406364290,"A' S HOME HEALTH CARE , INC.",14125 TELEPHONE AVE,CHINO,91710,36,SAN BERNARDINO,Open,6/25/04,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406364290,"14125 TELEPHONE AVE, CHINO, 91710",,,33.997002,-117.6929826
406304408,A-1 HOME HEALTH CARE,5011 ARGOSY AVE.,HUNTINGTON BEACH,92649,30,ORANGE,Open,12/1/10,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406304408,"5011 ARGOSY AVE., HUNTINGTON BEACH, 92649",,,33.7414488,-118.0411301
406564179,A-1 HOME HEALTH SERVICES INC,1407 KUEHNER DR,SIMI VALLEY,93063,56,VENTURA,Open,1/9/13,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406564179,"1407 KUEHNER DR, SIMI VALLEY, 93063",,,34.2622065,-118.6617383
406074143,A-BIZ HEALTH SYSTEMS,17607 SHERMAN WAY,VAN NUYS,91406,19,LOS ANGELES,Open,6/26/14,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406074143,"17607 SHERMAN WAY, VAN NUYS, 91406",,,34.201819,-118.5166487
406334666,A-QUEST HEALTH CARE INC.,6560 VAN BUREN BLVD,RIVERSIDE,92503,33,RIVERSIDE,Open,1/25/14,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406334666,"6560 VAN BUREN BLVD, RIVERSIDE, 92503",,,33.9499462,-117.45426
406194434,A. C. HOME HEALTH AGENCY,5601 W SLAUSON AVE,CULVER CITY,90230,19,LOS ANGELES,Open,11/21/13,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406194434,"5601 W SLAUSON AVE, CULVER CITY, 90230",,,33.9896142,-118.3799524
406197501,"A1 UNLIMITED HOME HEALTH CARE, INC.",4430 SANTA MONICA BOULEVARD,LOS ANGELES,90029,19,LOS ANGELES,Open,2/24/11,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197501,"4430 SANTA MONICA BOULEVARD, LOS ANGELES, 90029",,,34.090518,-118.285718
406564162,"AAA HOME HEALTH CARE, INC.",995 E LOS ANGELES AVE.,SIMI VALLEY,93065,56,VENTURA,Open,5/8/14,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406564162,"995 E LOS ANGELES AVE., SIMI VALLEY, 93065",,,34.272494,-118.780379
406196836,"AAA HOME HEALTH SERVICES, INC.",150 E OLIVE AVE,BURBANK,91502,19,LOS ANGELES,Open,2/6/13,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406196836,"150 E OLIVE AVE, BURBANK, 91502",,,34.1804602,-118.3086855
406374483,"AAA HOME HEALTH, INC.",9225 DOWDY DR,SAN DIEGO,92126,37,SAN DIEGO,Open,5/5/14,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406374483,"9225 DOWDY DR, SAN DIEGO, 92126",,,32.8899881,-117.1462753
406197679,"AAA NURSING SERVICES, INC.",5959 TOPANGA CANYON BLV,WOODLAND HILLS,91367,19,LOS ANGELES,Open,3/29/12,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197679,"5959 TOPANGA CANYON BLV, WOODLAND HILLS, 91367",,,34.177914,-118.605468
406197644,"AB SAFE HAVEN PALLIATIVE & HOSPICE CARE, INC.",2895 TEMPLE AVE.,SIGNAL HILL,90755,19,LOS ANGELES,Open,6/9/14,Home Health Agency/Hospice,Hospice,http://gis.oshpd.ca.gov/atlas/places/facility/406197644,"2895 TEMPLE AVE., SIGNAL HILL, 90755",,,33.8095404,-118.1595137
406374510,"ABA HOME CARE, INC.",7400 EL CAJON BLVD.,LA MESA,91942,37,SAN DIEGO,Open,7/21/14,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406374510,"7400 EL CAJON BLVD., LA MESA, 91942",,,32.76896,-117.037618
406374460,ABC HOME HEALTH CARE LLC DBA BRIDGE HOME HEALTH,6390 GREENWICH DR,SAN DIEGO,92122,37,SAN DIEGO,Open,10/5/12,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406374460,"6390 GREENWICH DR, SAN DIEGO, 92122",,,32.854792,-117.186616
406197139,ABLE HANDS HOME HEALTH CARE,18780 AMAR RD,WALNUT,91789,19,LOS ANGELES,Open,5/16/08,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197139,"18780 AMAR RD, WALNUT, 91789",,,34.0277943,-117.8923706
406197566,ABLE HANDS HOME HEALTH SERVICES,517 E WILSON AVENUE,GLENDALE,91206,19,LOS ANGELES,Open,7/8/11,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197566,"517 E WILSON AVENUE, GLENDALE, 91206",,,34.148371,-118.2492886
406197041,"ABSOLUT HOME HEALTH CARE, INC.",22736 VANOWEN ST.,WEST HILLS,91307,19,LOS ANGELES,Open,7/5/07,Home Health Agency/Hospice,Home Health Agency,http://gis.oshpd.ca.gov/atlas/places/facility/406197041,"22736 VANOWEN ST., WEST HILLS, 91307",,,34.1934534,-118.6225709
